Index,Data,Frequency,Real,Imaginary,Abs
352,-1364,11264,194.511,125.249,231.348
353,-1339,11296,224.127,-82.7455,238.914
354,-1303,11328,75.559,-224.224,236.613
355,-1267,11360,-115.319,-190.203,222.431
356,-1244,11392,-219.309,-33.08,221.79
357,-1241,11424,-177.857,155.314,236.127
358,-1257,11456,19.6205,214.122,215.019
359,-1274,11488,185.157,121.996,221.734
360,-1277,11520,210.497,-75.2559,223.545
361,-1264,11552,86.4863,-219.361,235.795
362,-1250,11584,-128.978,-188.513,228.413
363,-1261,11616,-222.767,-41.7706,226.649
364,-1306,11648,-173.616,128.225,215.834
365,-1366,11680,4.65027,228.968,229.015
366,-1419,11712,178.627,118.275,214.235
367,-1445,11744,216.208,-62.7836,225.139
368,-1442,11776,84.4406,-225.711,240.989
369,-1429,11808,-64.2478,-203.344,213.252
370,-1427,11840,-226.718,-29.1015,228.578
371,-1450,11872,-159.43,148.993,218.213
372,-1494,11904,6.13763,224.716,224.8
373,-1541,11936,187.754,123.473,224.716
374,-1577,11968,192.781,-58.6595,201.508
375,-1595,12000,91.425,-207.318,226.581
376,-1609,12032,-112.214,-203.719,232.58
377,-1632,12064,-201.04,-25.7725,202.685
378,-1665,12096,-176.827,152.125,233.259
379,-1697,12128,5.25171,219.598,219.661
380,-1723,12160,173.19,120.286,210.864
381,-1730,12192,219.741,-58.0659,227.284
382,-1708,12224,80.9961,-211.036,226.046
383,-1677,12256,-116.492,-198.21,229.908
384,-1662,12288,-198.803,-56.5447,206.688
385,-1667,12320,-163.28,147.446,220.001
386,-1684,12352,10.0819,223.905,224.132
387,-1692,12384,163.521,114.363,199.544
388,-1670,12416,223.47,-56.5403,230.512
389,-1626,12448,97.3323,-199.911,222.346
390,-1578,12480,-117.788,-205.746,237.077
391,-1543,12512,-201.783,-33.6757,204.574
392,-1532,12544,-158.885,128.005,204.034
393,-1535,12576,-6.25293,213.253,213.344
394,-1531,12608,161.547,141.884,215.008
395,-1505,12640,214.579,-49.5424,220.224
396,-1463,12672,76.6244,-199.505,213.714
397,-1423,12704,-94.175,-180.637,203.712
398,-1394,12736,-212.085,-49.6162,217.812
399,-1379,12768,-166.276,141.256,218.177
400,-1373,12800,-0.580566,198.025,198.026
401,-1359,12832,158.513,134.955,208.181
402,-1330,12864,204.793,-55.0518,212.064
403,-1294,12896,92.8459,-190.182,211.635
404,-1262,12928,-100.224,-182.541,208.245
405,-1243,12960,-208.718,-56.6227,216.262
406,-1245,12992,-151.157,134.063,202.043
407,-1262,13024,-13.056,204.756,205.172
408,-1276,13056,160.402,141.166,213.674
409,-1276,13088,217.74,-47.3433,222.828
410,-1260,13120,108.874,-200.959,228.556
411,-1251,13152,-90.5834,-176.262,198.176
412,-1275,13184,-200.003,-32.5295,202.631
413,-1328,13216,-155.928,128.013,201.744
