,0000F8B1,
7825,63973,0000F9E5
7827,63976,0000F9E8
7829,63977,0000F9E9
7831,63979,0000F9EB
7833,63982,0000F9EE
7835,63980,0000F9EC
7837,63977,0000F9E9
7839,63975,0000F9E7
7841,63972,0000F9E4
7843,63967,0000F9DF
7845,63960,0000F9D8
7847,63952,0000F9D0
7849,63940,0000F9C4
7851,63926,0000F9B6
7853,63912,0000F9A8
7855,63896,0000F998
7857,63879,0000F987
7859,63863,0000F977
7861,63846,0000F966
7863,63830,0000F956
7865,63815,0000F947
7867,63799,0000F937
7869,63785,0000F929
7871,63773,0000F91D
7873,63762,0000F912
7875,63750,0000F906
7877,63738,0000F8FA
7879,63724,0000F8EC
7881,63712,0000F8E0
7883,63701,0000F8D5
7885,63694,0000F8CE
7887,63686,0000F8C6
7889,63680,0000F8C0
7891,63674,0000F8BA
7893,63669,0000F8B5
7895,63667,0000F8B3
7897,63667,0000F8B3
7899,63666,0000F8B2
7901,63666,0000F8B2
7903,63666,0000F8B2
7905,63668,0000F8B4
7907,63669,0000F8B5
7909,63674,0000F8BA
7911,63679,0000F8BF
7913,63684,0000F8C4
7915,63692,0000F8CC
7917,63701,0000F8D5
7919,63710,0000F8DE
7921,63721,0000F8E9
7923,63734,0000F8F6
7925,63748,0000F904
7927,63764,0000F914
7929,63780,0000F924
7931,63796,0000F934
7933,63811,0000F943
7935,63824,0000F950
7937,63836,0000F95C
7939,63848,0000F968
7941,63859,0000F973
7943,63870,0000F97E
7945,63879,0000F987
7947,63888,0000F990
7949,63898,0000F99A
