,3E638000, -108134400
 4105, 1044283392,3E3E8000, -117833728
 4107, 2120368128,7E624000, -108462080
 4109, 2122334208,7E804000, -100597760
 4111, -26279936,FE6F0000, -105119744
 4113, -1102725120,BE45C000, -115933184
 4115, 2117992448,7E3E0000, -117964800
 4117, -1100922880,BE614000, -108724224
 4119, -1098924032,BE7FC000, -100728832
 4121, 2121220096,7E6F4000, -105054208
 4123, 1044758528,3E45C000, -115933184
 4125, -29540352,FE3D4000, -118161408
 4127, -27230208,FE608000, -108920832
 4129, 1048559616,3E7FC000, -100728832
 4131, 1047527424,3E700000, -104857600
 4133, -1102725120,BE45C000, -115933184
 4135, 1044152320,3E3C8000, -118358016
 4137, 1046478848,3E600000, -109051904
 4139, 1048576000,3E800000, -100663296
 4141, -26165248,FE70C000, -104660992
 4143, 1044856832,3E474000, -115539968
 4145, 1044217856,3E3D8000, -118095872
 4147, -1101004800,BE600000, -109051904
 4149, -25198592,FE7F8000, -100794368
 4151, -1099923456,BE708000, -104726528
 4153, 2118565888,7E46C000, -115671040
 4155, 1044168704,3E3CC000, -118292480
 4157, 1046413312,3E5F0000, -109314048
 4159, -25247744,FE7EC000, -100990976
 4161, 2121318400,7E70C000, -104660992
 4163, 1044873216,3E478000, -115474432
 4165, -29556736,FE3D0000, -118226944
 4167, -27344896,FE5EC000, -109379584
 4169, -25231360,FE7F0000, -100925440
 4171, -1099841536,BE71C000, -104398848
 4173, -1102577664,BE480000, -115343360
 4175, 2117894144,7E3C8000, -118358016
 4177, 2120105984,7E5E4000, -109510656
 4179, 2122268672,7E7F4000, -100859904
 4181, -26083328,FE720000, -104333312
 4183, -28819456,FE484000, -115277824
 4185, -1103347712,BE3C4000, -118423552
 4187, 2120040448,7E5D4000, -109772800
 4189, 1048477696,3E7E8000, -101056512
 4191, -1099808768,BE724000, -104267776
 4193, -1102528512,BE48C000, -115146752
 4195, -29622272,FE3C0000, -118489088
 4197, 2119991296,7E5C8000, -109969408
 4199, 2122186752,7E7E0000, -101187584
 4201, 1047707648,3E72C000, -104136704
 4203, 2118729728,7E494000, -115015680
 4205, -29638656,FE3BC000, -118554624
 4207, -27541504,FE5BC000, -110166016
 4209, -25313280,FE7DC000, -101253120
 4211, 1047740416,3E734000, -104005632
 4213, -28721152,FE49C000, -114884608
 4215, -29622272,FE3C0000, -118489088
 4217, 2119958528,7E5C0000, -110100480
 4219, 1048477696,3E7E8000, -101056512
 4221, -25935872,FE744000, -103743488
 4223, 1045086208,3E4AC000, -114622464
 4225, 1044135936,3E3C4000, -118423552
 4227, -27525120,FE5C0000, -110100480
 4229, -25247744,FE7EC000, -100990976
 4231, -1099628544,BE750000, -103546880
 4233, 1045135360,3E4B8000, -114425856
 4235, 1044119552,3E3C0000, -118489088
 4237, 1046151168,3E5B0000, -110362624
 4239, 2122186752,7E7E0000, -101187584
 4241, 2121613312,7E754000, -103481344
 4243, 2118926336,7E4C4000, -114229248
 4245, -29605888,FE3C4000, -118423552
 4247, 1046183936,3E5B8000, -110231552
 4249, 1048526848,3E7F4000, -100859904
 4251, 1047969792,3E76C000, -103088128
 4253, 1045250048,3E4D4000, -113967104
 4255, -1103347712,BE3C4000, -118423552
 4257, -1101348864,BE5AC000, -110428160
 4259, -1098989568,BE7EC000, -100990976
 4261, 2121744384,7E774000, -102957056
 4263, -28475392,FE4D8000, -113901568
 4265, -1103347712,BE3C4000, -118423552
 4267, 1046118400,3E5A8000, -110493696
 4269, 2122219520,7E7E8000, -101056512
 4271, -25706496,FE77C000, -102825984
 4273, 2119090176,7E4EC000, -113573888
 4275, -29589504,FE3C8000, -118358016
 4277, 1046069248,3E59C000, -110690304
 4279, 2122186752,7E7E0000, -101187584
 4281, 2121809920,7E784000, -102694912
 4283, 2119139328,7E4F8000, -113377280
 4285, -29556736,FE3D0000, -118226944
 4287, 2119843840,7E5A4000, -110559232
 4289, -1098989568,BE7EC000, -100990976
 4291, -25624576,FE790000, -102498304
 4293, 1045430272,3E500000, -113246208
 4295, 2117894144,7E3C8000, -118358016
 4297, 1046020096,3E590000, -110886912
 4299, -1099055104,BE7DC000, -101253120
 4301, 2121842688,7E78C000, -102563840
 4303, -1102036992,BE504000, -113180672
 4305, 2117894144,7E3C8000, -118358016
 4307, -1101529088,BE580000, -111149056
 4309, -1099071488,BE7D8000, -101318656
 4311, 1048166400,3E79C000, -102301696
 4313, 1045512192,3E514000, -112918528
 4315, -29589504,FE3C8000, -118358016
 4317, -1101545472,BE57C000, -111214592
 4319, 1048412160,3E7D8000, -101318656
 4321, -25559040,FE7A0000, -102236160
 4323, -28229632,FE514000, -112918528
 4325, -1103364096,BE3C0000, -118489088
 4327, 2119630848,7E570000, -111411200
 4329, -25378816,FE7CC000, -101515264
 4331, 1048199168,3E7A4000, -102170624
 4333, 2119286784,7E51C000, -112787456
 4335, -29622272,FE3C0000, -118489088
 4337, 2119598080,7E568000, -111542272
 4339, -25427968,FE7C0000, -101711872
 4341, -25559040,FE7A0000, -102236160
 4343, 2119319552,7E524000, -112656384
 4345, -1103380480,BE3BC000, -118554624
 4347, -1101709312,BE554000, -111869952
 4349, -25460736,FE7B8000, -101842944
 4351, -1099251712,BE7AC000, -102039552
 4353, 2119385088,7E534000, -112394240
 4355, -1103347712,BE3C4000, -118423552
 4357, -1101709312,BE554000, -111869952
 4359, 1048281088,3E7B8000, -101842944
 4361, 2121973760,7E7AC000, -102039552
 4363, -28098560,FE534000, -112394240
 4365, 1044103168,3E3BC000, -118554624
 4367, -1101791232,BE540000, -112197632
 4369, -25526272,FE7A8000, -102105088
 4371, 2121973760,7E7AC000, -102039552
 4373, -28065792,FE53C000, -112263168
 4375, -29638656,FE3BC000, -118554624
 4377, 1045692416,3E540000, -112197632
 4379, 1048215552,3E7A8000, -102105088
 4381, -1099251712,BE7AC000, -102039552
 4383, -1101791232,BE540000, -112197632
 4385, -1103413248,BE3B4000, -118685696
 4387, 2119335936,7E528000, -112590848
 4389, -25575424,FE79C000, -102301696
 4391, -25460736,FE7B8000, -101842944
 4393, -28049408,FE540000, -112197632
 4395, -1103462400,BE3A8000, -118882304
 4397, 2119286784,7E51C000, -112787456
 4399, 1048117248,3E790000, -102498304
 4401, 1048248320,3E7B0000, -101974016
 4403, -28016640,FE548000, -112066560
 4405, -29687808,FE3B0000, -118751232
 4407, -28213248,FE518000, -112852992
 4409, -25640960,FE78C000, -102563840
 4411, -25477120,FE7B4000, -101908480
 4413, 2119483392,7E54C000, -112001024
 4415, 1044021248,3E3A8000, -118882304
 4417, 1045463040,3E508000, -113115136
 4419, 2121809920,7E784000, -102694912
 4421, 1048297472,3E7BC000, -101777408
 4423, -1101692928,BE558000, -111804416
 4425, 1044054016,3E3B0000, -118751232
 4427, 1045463040,3E508000, -113115136
 4429, -25690112,FE780000, -102760448
 4431, 2122104832,7E7CC000, -101515264
 4433, -1101578240,BE574000, -111345664
 4435, -1103413248,BE3B4000, -118685696
 4437, 2119172096,7E500000, -113246208
 4439, -1099431936,BE780000, -102760448
 4441, 2122104832,7E7CC000, -101515264
 4443, 1045872640,3E56C000, -111476736
 4445, -1103462400,BE3A8000, -118882304
 4447, -28377088,FE4F0000, -113508352
 4449, -25788416,FE768000, -103153664
 4451, 2122055680,7E7C0000, -101711872
 4453, -1101578240,BE574000, -111345664
 4455, 1044021248,3E3A8000, -118882304
 4457, 2119024640,7E4DC000, -113836032
 4459, -1099563008,BE760000, -103284736
 4461, 2122088448,7E7C8000, -101580800
 4463, 1045938176,3E57C000, -111214592
 4465, 2117779456,7E3AC000, -118816768
 4467, 2119041024,7E4E0000, -113770496
 4469, -1099546624,BE764000, -103219200
 4471, -1099087872,BE7D4000, -101384192
 4473, -1101496320,BE588000, -111017984
 4475, 1044037632,3E3AC000, -118816768
 4477, -1102249984,BE4D0000, -114032640
 4479, -1099612160,BE754000, -103481344
